dpkts,dbytes,ct_dst_sport_ltm,state_CON,dmean,state_INT,dload,ct_state_ttl,sttl
8,1172,1,0,147,0,8342.53125,1,62
10,1266,1,0,127,0,5940.385254,1,62
8,1134,1,0,142,0,7498.874512,1,62
10,1414,1,0,141,0,10281.17773,1,62
8,1120,1,0,140,0,6014.492676,1,62
10,1142,1,0,114,0,3402.007568,1,62
10,1228,1,0,123,0,4469.939941,1,62
10,1266,1,0,127,0,5927.451172,1,62
8,1182,1,0,148,0,5094.484863,1,62
8,1206,1,0,151,0,8056.1875,1,62
10,1378,3,0,138,0,6648.006836,1,62
10,1378,3,0,138,0,6648.006836,1,62
10,1378,3,0,138,0,6648.006836,1,62
8,1294,1,0,162,0,7494.253418,1,62
10,1138,2,0,114,0,5992.605469,1,62
10,1138,2,0,114,0,5992.605469,1,62
8,1246,1,0,156,0,12105.99609,1,62
10,1140,1,0,114,0,7478.40625,1,62
8,1120,1,0,140,0,5050.661133,1,62
10,1192,1,0,119,0,9819.701172,1,62
10,1150,1,0,115,0,7382.640137,1,62
10,1250,1,0,125,0,5377.654785,1,62
10,1370,1,0,137,0,4197.834473,1,62
8,960,1,0,120,0,29929.98438,1,62
8,1336,1,0,167,0,22821.89063,1,62
6,268,1,0,45,0,6931.899414,1,254
12,5236,1,0,436,0,6856.664062,1,62
6,268,1,0,45,0,8246.208008,1,254
1294,1747118,1,0,1350,0,1830562.25,1,62
8,354,1,0,44,0,4936.384277,1,254
20,18088,1,0,904,0,298747.625,1,62
8,1074,1,0,134,0,25984.61523,1,254
6,268,1,0,45,0,8568.709961,1,254
6,268,1,0,45,0,9071.029297,1,254
8,354,1,0,44,0,5134.533203,1,254
22,1602,1,0,73,0,6021.056152,1,62
8,1628,1,0,204,0,15669.52148,1,62
10,2000,1,0,200,0,20901.43359,1,62
10,1238,1,0,124,0,11551.14258,1,62
8,354,1,0,44,0,5732.553223,1,254
8,986,1,0,123,0,27703.09961,1,62
6,268,1,0,45,0,9420.522461,1,254
20,1784,1,0,89,0,15152.68262,1,62
24,9872,1,0,411,0,75774.15625,1,62
8,1094,1,0,137,0,27107.90234,1,62
1554,2055289,1,0,1323,0,1650178.625,1,62
20,2266,1,0,113,0,13977.66016,1,62
6,268,1,0,45,0,5859.004883,1,254
8,406,1,0,51,0,3368.73584,1,254
6,268,1,0,45,0,2420.78418,1,254
10,3294,1,0,329,0,19934.44727,1,62
6,268,1,0,45,0,4397.805176,1,254
28,29346,1,0,1048,0,274834.9063,1,62
10,2216,1,0,222,0,14579.96289,1,62
10,1774,1,0,177,0,9706.141602,1,62
64,63172,1,0,987,0,175234.9063,1,62
52,3166,1,0,61,0,4694.075684,1,62
12,5624,1,0,469,0,22371.9043,1,62
10,2726,1,0,273,0,13650.0459,1,62
10,1018,1,0,102,0,5006.12793,1,62
22,1764,1,0,80,0,3928.026611,1,62
22,1772,1,0,81,0,5735.459473,1,62
12,4788,1,0,399,0,19140.1543,1,62
10,1856,1,0,186,0,9105.448242,1,62
12,682,1,0,57,0,2363.046631,1,254
12,682,1,0,57,0,2253.88623,1,254
12,682,1,0,57,0,1880.122681,1,254
8,354,1,0,44,0,1301.609741,1,254
24,2104,1,0,88,0,20086.79102,1,62
22,1668,1,0,76,0,9705.048828,1,62
38,2638,1,0,69,0,16234.99902,1,62
6,268,1,0,45,0,9941.637695,1,254
10,4208,1,0,421,0,114730.5156,1,62
6,268,1,0,45,0,8878.62793,1,254
22,1652,1,0,75,0,10957.88574,1,62
10,2074,1,0,207,0,43332.94531,1,62
6,268,1,0,45,0,8872.736328,1,254
6,268,1,0,45,0,10833.22754,1,254
12,6574,1,0,548,0,259036.3906,1,62
6,268,1,0,45,0,9481.582031,1,254
6,268,1,0,45,0,9019.029297,1,254
0,0,2,0,0,1,0.0,2,254
16,1386,1,0,87,0,18294.65625,1,254
10,3708,1,0,371,0,42474.47656,1,62
8,826,1,0,103,0,13854.85449,1,62
10,3780,1,0,378,0,82820.32031,1,62
6,268,1,0,45,0,4762.815918,1,254
22,1846,1,0,84,0,10784.85352,1,62
8,1024,1,0,128,0,21148.84766,1,62
24,8624,1,0,359,0,55337.07031,1,62
8,1044,1,0,131,0,19921.75,1,254
0,0,1,0,0,1,0.0,2,254
14,11200,1,0,800,0,168451.7344,1,62
8,1670,1,0,209,0,34326.09766,1,254
16,14492,1,0,906,0,330901.9688,1,62
10,3962,1,0,396,0,74774.39063,1,62
8,552,1,0,69,0,6656.880859,1,254
20,1834,1,0,92,0,7555.315918,1,62
22,22330,1,0,1015,0,359018.1875,1,62
622,26990,1,0,43,0,6127.536133,1,254
6,268,1,0,45,0,5178.053223,1,254
44,2812,1,0,64,0,6633.453125,1,62
10,5972,1,0,597,0,155042.125,1,62
10,4638,1,0,464,0,175694.2344,1,62
22,1642,1,0,75,0,10812.62793,1,62
22,1642,1,0,75,0,10812.62793,1,62
8,966,1,0,121,0,29948.0957,1,254
10,5384,1,0,538,0,170696.1563,1,62
22,1664,1,0,76,0,9006.749023,1,62
6,268,1,0,45,0,7326.007324,1,254
54,3296,1,0,61,0,20638.33789,1,62
6,268,1,0,45,0,4829.108398,1,254
11018,14657531,1,0,1330,0,2048463.625,1,62
22,23166,1,0,1053,0,763814.375,1,62
348,449181,1,0,1291,0,2289396.75,1,62
50,2998,1,0,60,0,14300.41602,1,62
6,268,1,0,45,0,6556.657227,1,254
6,268,1,0,45,0,8221.012695,1,254
10,1056,1,0,106,0,15322.24414,1,62
6,268,1,0,45,0,9900.169922,1,254
368,474465,1,0,1289,0,2156138.75,1,62
6,268,1,0,45,0,9830.489258,1,254
20,1596,1,0,80,0,14365.47949,1,62
32,2308,1,0,72,0,15936.78027,1,62
12,7782,1,0,649,0,247367.9844,1,62
26,29216,1,0,1124,0,903380.875,1,62
22,1638,1,0,74,0,6368.337402,1,62
24,2022,1,0,84,0,15906.10645,1,62
8,2030,1,0,254,0,49853.23828,1,62
6,268,1,0,45,0,7026.210938,1,254
82,100496,1,0,1226,0,765988.8125,1,62
8,2864,1,0,358,0,66535.01563,1,62
10,1688,1,0,169,0,9458.883789,1,62
8,1796,1,0,225,0,52069.57422,1,62
20,1712,1,0,86,0,21102.01953,1,62
10,5150,1,0,515,0,78104.92188,1,62
8,354,1,0,44,0,1408.70752,1,254
8,842,1,0,105,0,8133.816406,1,62
8,384,1,0,48,0,6035.580566,1,254
8,354,1,0,44,0,6034.503906,1,254
20,1878,1,0,94,0,19781.73633,1,62
46,39742,1,0,864,0,365218.3438,1,62
6,268,1,0,45,0,9717.37207,1,254
8,634,1,0,79,0,4494.823242,1,254
6,268,1,0,45,0,9400.40918,1,254
12,7212,1,0,601,0,219894.8125,1,62
24,26010,1,0,1084,0,756432.375,1,62
8,2344,1,0,293,0,56974.79688,1,254
36,2544,1,0,71,0,15507.47168,1,62
12,9134,1,0,761,0,322581.25,1,62
22,1638,1,0,74,0,11338.68359,1,62
22,1612,1,0,73,0,5990.969727,1,62
22,1658,1,0,75,0,7408.880859,1,62
8,354,1,0,44,0,3556.595703,1,254
20,1642,1,0,82,0,7789.328613,1,62
6,268,1,0,45,0,7475.450195,1,254
10,3730,1,0,373,0,101726.8828,1,62
6,268,1,0,45,0,9717.424805,1,254
8,354,1,0,44,0,5461.688965,1,254
6,268,1,0,45,0,9839.557617,1,254
6,268,1,0,45,0,9298.319336,1,254
16,1106,1,0,69,0,12863.99023,1,254
30,2176,1,0,73,0,1709.755981,1,62
6,268,1,0,45,0,5397.525391,1,254
6,268,1,0,45,0,2050.664795,1,254
42,2818,1,0,67,0,2573.763428,1,62
38,30862,1,0,812,0,164676.1406,1,62
8,1014,1,0,127,0,26669.07031,1,254
26,2138,1,0,82,0,16801.24609,1,62
30,2112,1,0,70,0,15883.28027,1,62
22,1846,1,0,84,0,19611.27734,1,62
6,268,1,0,45,0,9495.649414,1,254
8,354,1,0,44,0,1855.548584,1,254
8,1584,1,0,198,0,43064.71094,1,62
8,724,1,0,91,0,8035.373047,1,62
8,1418,1,0,177,0,46758.94922,1,62
8,944,1,0,118,0,32436.04102,1,62
22,1644,1,0,75,0,11751.46484,1,62
8,1384,1,0,173,0,37783.82422,1,62
22,1724,1,0,78,0,23365.25,1,62
6,268,1,0,45,0,9407.120117,1,254
6,268,1,0,45,0,6992.325195,1,254
14,622,1,0,44,0,142.058151,1,254
22,1602,1,0,73,0,6021.056152,1,62
6,268,1,0,45,0,3615.046143,1,254
22,1608,1,0,73,0,3731.12793,1,62
24,1838,1,0,77,0,8932.283203,1,62
6,268,1,0,45,0,7805.86377,1,254
6,268,1,0,45,0,7793.27002,1,254
8,354,1,0,44,0,1423.986938,1,254
26,28312,1,0,1089,0,1036029.25,1,62
24,1882,1,0,78,0,15810.37988,1,254
20,1694,1,0,85,0,14867.38281,1,62
236,308456,1,0,1307,0,580209.25,1,254
24,1974,1,0,82,0,5624.850098,1,62
8,354,1,0,44,0,2046.704468,1,254
10,1090,1,0,109,0,3800.703125,1,62
42,2788,1,0,66,0,5428.773438,1,62
26,24944,1,0,959,0,73480.53125,1,62
96,103410,1,0,1077,0,78220.76563,1,62
8,354,1,0,44,0,572.152832,1,254
10,1032,1,0,103,0,1555.615234,1,62
10,3754,1,0,375,0,21376.08203,1,62
12,8756,1,0,730,0,84088.89844,1,62
14,6248,1,0,446,0,13274.97754,1,62
8,354,1,0,44,0,1624.929565,1,254
10,1666,1,0,167,0,7496.298828,1,254
114,140315,1,0,1231,0,216489.4219,1,62
24,25496,1,0,1062,0,722506.625,1,62
8,354,1,0,44,0,475.053833,1,254
10,1012,1,0,101,0,14650.86621,1,62
22,1668,1,0,76,0,9705.048828,1,62
6,268,1,0,45,0,9375.032227,1,254
426,538175,1,0,1263,0,1325850.625,1,62
6,268,1,0,45,0,9995.147461,1,254
20,1756,1,0,88,0,23829.11328,1,62
16,9588,1,0,599,0,158969.3281,1,62
8,2208,1,0,276,0,55553.95703,1,62
22,1644,1,0,75,0,10496.79297,1,62
30,9490,1,0,316,0,55545.76172,1,254
30,9490,1,0,316,0,55545.76172,1,254
10,4382,1,0,438,0,53974.89844,1,62
4,2304,2,1,576,0,218858.8281,3,62
656,856582,1,0,1306,0,1861970.875,1,62
6,268,1,0,45,0,9922.701172,1,254
136,6708,1,0,49,0,9858.84082,1,62
24,1842,1,0,77,0,10432.32715,1,254
6,268,1,0,45,0,12512.13086,1,254
18,16744,1,0,930,0,525342.8125,1,254
20,1832,1,0,92,0,17057.92383,1,62
22,1638,1,0,74,0,11138.12402,1,62
8,1790,1,0,224,0,43295.8125,1,254
20,1832,1,0,92,0,16044.78906,1,62
6,268,1,0,45,0,6717.825195,1,254
24,24440,1,0,1018,0,453913.625,1,62
10,1058,1,0,106,0,15921.64453,1,62
24,1942,1,0,81,0,17635.49805,1,62
20,1680,1,0,84,0,15867.1377,1,62
6,268,1,0,45,0,9172.808594,1,254
10,5840,1,0,584,0,182747.4688,1,62
20,19342,1,0,967,0,690812.25,1,62
26,29170,1,0,1122,0,402376.3125,1,62
10,4700,1,0,470,0,81796.22656,1,254
6,268,1,0,45,0,9540.84668,1,254
36,41908,1,0,1164,0,1157940.0,1,62
8,846,1,0,106,0,10194.4834,1,62
6,268,1,0,45,0,8863.915039,1,254
10,3270,1,0,327,0,83666.19531,1,62
8,1470,1,0,184,0,28818.21875,1,62
6,268,1,0,45,0,9534.349609,1,254
6,268,1,0,45,0,9203.004883,1,254
22,1612,1,0,73,0,7837.580078,1,62
118,134364,1,0,1139,0,956881.4375,1,62
10,4230,1,0,423,0,63868.20313,1,62
58,68427,1,0,1180,0,780176.5,1,62
22,1626,1,0,74,0,10620.51074,1,62
8,680,1,0,85,0,15651.30469,1,62
56,67110,1,0,1198,0,424110.375,1,62
10,3754,1,0,375,0,67590.30469,1,62
6,268,1,0,45,0,8508.334961,1,254
8,354,1,0,44,0,4294.863281,1,254
2,240,1,1,120,0,110777.75,3,62
6,268,1,0,45,0,7115.120605,1,254
6,268,1,0,45,0,4089.746094,1,254
6,268,1,0,45,0,7437.413086,1,254
118,132642,1,0,1124,0,472028.0938,1,62
6,268,1,0,45,0,4785.966797,1,254
6,268,1,0,45,0,9109.996094,1,254
14,10236,1,0,731,0,302388.0,1,62
6,268,1,0,45,0,5912.864258,1,254
22,1964,1,0,89,0,8301.850586,1,62
8,1628,1,0,204,0,15669.52148,1,62
44,36406,1,0,827,0,164637.5625,1,62
20,1826,1,0,91,0,7039.967285,1,62
6,268,1,0,45,0,5433.662109,1,254
6,268,1,0,45,0,10191.89453,1,254
6,268,1,0,45,0,6987.662598,1,254
8,354,1,0,44,0,2310.833252,1,254
8,1002,1,0,125,0,23440.11133,1,62
36,39610,1,0,1100,0,398692.9375,1,62
48,41094,1,0,856,0,398299.4063,1,62
6,268,1,0,45,0,1999.736694,1,254
8,1348,1,0,169,0,34452.17578,1,62
6,268,1,0,45,0,2417.169434,1,254
8,646,1,0,81,0,4824.709961,1,62
6,268,1,0,45,0,8759.238281,1,254
20,20934,1,0,1047,0,567341.0625,1,62
812,1087639,1,0,1339,0,1880678.75,1,62
286,369955,1,0,1294,0,1153847.25,1,62
6,268,1,0,45,0,9496.152344,1,254
42,48796,1,0,1162,0,611557.75,1,62
6,268,1,0,45,0,9280.694336,1,254
62,59812,1,0,965,0,510967.5,1,62
156,183234,1,0,1175,0,1059935.0,1,62
6,268,1,0,45,0,8794.358398,1,254
8,2752,1,0,344,0,78761.01563,1,62
8,1832,1,0,229,0,48733.39844,1,62
6,268,1,0,45,0,9104.672852,1,254
6,268,1,0,45,0,6830.101562,1,254
28,2166,1,0,77,0,16575.45117,1,62
28,2112,1,0,75,0,14004.21094,1,62
34,2462,1,0,72,0,18109.32031,1,62
22,1626,1,0,74,0,10620.51074,1,62
72,72474,1,0,1007,0,575376.375,1,62
12,4000,1,0,333,0,39969.37109,1,62
12,3444,1,0,287,0,26034.34766,1,62
8,354,1,0,44,0,5732.036621,1,254
6,268,1,0,45,0,2623.050537,1,254
8,354,1,0,44,0,12136.10059,1,254
8,354,1,0,44,0,6608.381348,1,254
8,354,1,0,44,0,3249.343994,1,254
14,7206,1,0,515,0,41742.91797,1,62
6,268,1,0,45,0,3827.081055,1,254
8,740,1,0,93,0,4139.127441,1,62
22,19324,1,0,878,0,118212.7188,1,62
634,27898,1,1,44,0,3714.276367,3,62
10,3830,1,0,383,0,32597.63281,1,62
538,718974,1,0,1336,0,571531.75,1,62
8,354,1,0,44,0,2565.097168,1,254
38,30874,1,0,812,0,91070.78906,1,62
38,30874,1,0,812,0,91070.78906,1,62
148,174110,1,0,1176,0,618572.75,1,62
6,268,1,0,45,0,8611.575195,1,254
6,268,1,0,45,0,6747.34375,1,254
8,354,1,0,44,0,2931.94458,1,254
6,268,1,0,45,0,2701.223877,1,254
6,268,1,0,45,0,2760.116211,1,254
22,1880,1,0,85,0,6918.387695,1,62
10,1710,1,0,171,0,6095.209473,1,254
6,268,1,0,45,0,2379.583496,1,254
10,1770,1,0,177,0,12229.16406,1,62
14,5212,1,0,372,0,31739.89063,1,62
566,741455,1,0,1310,0,659685.6875,1,62
22,1970,1,0,90,0,2756.994385,1,62
22,1638,1,0,74,0,2834.632324,1,62
22,1936,1,0,88,0,23724.96875,1,62
8,354,1,0,44,0,618.736389,1,254
22,1662,1,0,76,0,9333.426758,1,62
8,740,1,0,93,0,4139.127441,1,62
